"name","asset","asset_tag","assigned","assigned_to","assignment_group","checked_in","checked_out","company","cost","location"
"S0RL00050239E6DD48 - UCS-MR-1X162RU-A - L0117982L - CI000001394082","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BCXM - DS-SFP-FC8G-SW - L0117982L - CI000001394239","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2L440038A0279 - UCS-CPU-E52660D - L0117982L - CI000001394047","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"TED1815B2LF - SFP-H10GB-CU3M - L0117982L - CI000001394296","Cisco SFP-H10GB-CU3M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BK08 - DS-SFP-FC8G-SW - L0117982L - CI000001394280","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N6KUK9-705N1.1 - L0117982L - CI000001394697","Cisco N6KUK9-705N1.1","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S06W00050339E9C710 - UCS-MR-1X162RU-A - L0117982L - CI000001394570","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E8A255 - UCS-MR-1X162RU-A - L0117982L - CI000001394217","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1851GQCU - UCS-FAN-6248UP - L0117982L - CI000001394265","Cisco UCS-FAN-6248UP","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N3064T-32T-LIC - L0117982L - CI000001394728","Cisco N3064T-32T-LIC","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850XLA8 - N20-FAN5 - L0117982L - CI000001394044","Cisco N20-FAN5","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"DTM185105EQ - UCSB-PSU-2500ACDV - L0117982L - CI000001394129","Cisco UCSB-PSU-2500ACDV","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E8A231 - UCS-MR-1X162RU-A - L0117982L - CI000001394215","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0384 - UCS-CPU-E52660D - L0117982L - CI000001394546","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DAE1 - UCS-MR-1X162RU-A - L0117982L - CI000001394060","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E02B - UCS-MR-1X162RU-A - L0117982L - CI000001394098","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BJZY - DS-SFP-FC8G-SW - L0117982L - CI000001394238","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850GCHU - N01-UAC1 - L0117982L - CI000001394136","Cisco N01-UAC1","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCEA - UCS-MR-1X162RU-A - L0117982L - CI000001394075","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BK0F - DS-SFP-FC8G-SW - L0117982L - CI000001394281","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"5511JCB3C68 - DCNM-LAN-N5K-K9 - L0117982L - CI000001394685","Cisco DCNM-LAN-N5K-K9","","","","","","","Deloitte Ltd","61.91","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1851P5MS - N6K-C6001-FAN-F - L0117982L - CI000001394654","Cisco N6K-C6001-FAN-F","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850XKN8 - N20-FAN5 - L0117982L - CI000001394138","Cisco N20-FAN5","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N20-CAK - L0117982L - CI000001394233","Cisco N20-CAK","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E189 - UCS-MR-1X162RU-A - L0117982L - CI000001394114","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BJZ1 - DS-SFP-FC8G-SW - L0117982L - CI000001394276","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH1902799H - UCSB-B200-M4 - L0117982L - CI000001394122","Cisco UCSB-B200-M4","","","","","","","Deloitte Ltd","177.94","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"ART184621A6 - NXA-PAC-1100W - L0117982L - CI000001394680","Cisco NXA-PAC-1100W","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"UCSB-HS-EP-M4-R - L0117982L - CI000001394131","Cisco UCSB-HS-EP-M4-R","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N20-CAK - L0117982L - CI000001394133","Cisco N20-CAK","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BJYS - DS-SFP-FC8G-SW - L0117982L - CI000001394245","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N56-LAN1K9 - L0117982L - CI000001394664","Cisco N56-LAN1K9","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E140 - UCS-MR-1X162RU-A - L0117982L - CI000001394169","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DAE6 - UCS-MR-1X162RU-A - L0117982L - CI000001394157","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"MOC174006RQ - SFP-H10GB-CU1M - L0117982L - CI000001394657","Cisco SFP-H10GB-CU1M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"UCSB-HS-EP-M4-F - L0117982L - CI000001394232","Cisco UCSB-HS-EP-M4-F","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"LIT18460Q45 - NXA-PAC-500W - L0117982L - CI000001394727","Cisco NXA-PAC-500W","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
